00:00 - Blood Pressure (mmHg): Systolic=134, Diastolic=88
00:01 - Blood Pressure (mmHg): Systolic=149, Diastolic=82
00:02 - Blood Pressure (mmHg): Systolic=135, Diastolic=81
00:03 - Blood Pressure (mmHg): Systolic=152, Diastolic=86
00:04 - Blood Pressure (mmHg): Systolic=123, Diastolic=98
00:05 - Blood Pressure (mmHg): Systolic=124, Diastolic=87
00:06 - Blood Pressure (mmHg): Systolic=120, Diastolic=97
00:07 - Blood Pressure (mmHg): Systolic=152, Diastolic=100
00:08 - Blood Pressure (mmHg): Systolic=154, Diastolic=87
00:09 - Blood Pressure (mmHg): Systolic=128, Diastolic=95
00:10 - Blood Pressure (mmHg): Systolic=154, Diastolic=85
00:11 - Blood Pressure (mmHg): Systolic=157, Diastolic=93
00:12 - Blood Pressure (mmHg): Systolic=136, Diastolic=92
00:13 - Blood Pressure (mmHg): Systolic=124, Diastolic=92
00:14 - Blood Pressure (mmHg): Systolic=136, Diastolic=98
00:15 - Blood Pressure (mmHg): Systolic=150, Diastolic=82
00:16 - Blood Pressure (mmHg): Systolic=130, Diastolic=84
00:17 - Blood Pressure (mmHg): Systolic=157, Diastolic=84
00:18 - Blood Pressure (mmHg): Systolic=143, Diastolic=85
00:19 - Blood Pressure (mmHg): Systolic=127, Diastolic=88
00:20 - Blood Pressure (mmHg): Systolic=151, Diastolic=87
00:21 - Blood Pressure (mmHg): Systolic=147, Diastolic=84
00:22 - Blood Pressure (mmHg): Systolic=120, Diastolic=100
00:23 - Blood Pressure (mmHg): Systolic=160, Diastolic=93
00:24 - Blood Pressure (mmHg): Systolic=156, Diastolic=94
00:25 - Blood Pressure (mmHg): Systolic=133, Diastolic=95
00:26 - Blood Pressure (mmHg): Systolic=126, Diastolic=81
00:27 - Blood Pressure (mmHg): Systolic=157, Diastolic=86
00:28 - Blood Pressure (mmHg): Systolic=144, Diastolic=95
00:29 - Blood Pressure (mmHg): Systolic=148, Diastolic=82
00:30 - Blood Pressure (mmHg): Systolic=160, Diastolic=87
00:31 - Blood Pressure (mmHg): Systolic=133, Diastolic=97
00:32 - Blood Pressure (mmHg): Systolic=124, Diastolic=85
00:33 - Blood Pressure (mmHg): Systolic=140, Diastolic=90
00:34 - Blood Pressure (mmHg): Systolic=153, Diastolic=85
00:35 - Blood Pressure (mmHg): Systolic=150, Diastolic=90
00:36 - Blood Pressure (mmHg): Systolic=155, Diastolic=85
00:37 - Blood Pressure (mmHg): Systolic=153, Diastolic=87
00:38 - Blood Pressure (mmHg): Systolic=148, Diastolic=93
00:39 - Blood Pressure (mmHg): Systolic=125, Diastolic=88
00:40 - Blood Pressure (mmHg): Systolic=146, Diastolic=95
00:41 - Blood Pressure (mmHg): Systolic=136, Diastolic=88
00:42 - Blood Pressure (mmHg): Systolic=157, Diastolic=84
00:43 - Blood Pressure (mmHg): Systolic=145, Diastolic=94
00:44 - Blood Pressure (mmHg): Systolic=134, Diastolic=98
00:45 - Blood Pressure (mmHg): Systolic=122, Diastolic=85
00:46 - Blood Pressure (mmHg): Systolic=126, Diastolic=91
00:47 - Blood Pressure (mmHg): Systolic=148, Diastolic=83
00:48 - Blood Pressure (mmHg): Systolic=146, Diastolic=100
00:49 - Blood Pressure (mmHg): Systolic=126, Diastolic=81
00:50 - Blood Pressure (mmHg): Systolic=121, Diastolic=90
00:51 - Blood Pressure (mmHg): Systolic=159, Diastolic=90
00:52 - Blood Pressure (mmHg): Systolic=124, Diastolic=94
00:53 - Blood Pressure (mmHg): Systolic=136, Diastolic=91
00:54 - Blood Pressure (mmHg): Systolic=127, Diastolic=85
00:55 - Blood Pressure (mmHg): Systolic=153, Diastolic=85
00:56 - Blood Pressure (mmHg): Systolic=122, Diastolic=93
00:57 - Blood Pressure (mmHg): Systolic=127, Diastolic=100
00:58 - Blood Pressure (mmHg): Systolic=134, Diastolic=85
00:59 - Blood Pressure (mmHg): Systolic=159, Diastolic=80
01:00 - Blood Pressure (mmHg): Systolic=133, Diastolic=95
01:01 - Blood Pressure (mmHg): Systolic=125, Diastolic=93
01:02 - Blood Pressure (mmHg): Systolic=122, Diastolic=97
01:03 - Blood Pressure (mmHg): Systolic=146, Diastolic=80
01:04 - Blood Pressure (mmHg): Systolic=120, Diastolic=90
01:05 - Blood Pressure (mmHg): Systolic=158, Diastolic=99
01:06 - Blood Pressure (mmHg): Systolic=123, Diastolic=99
01:07 - Blood Pressure (mmHg): Systolic=159, Diastolic=84
01:08 - Blood Pressure (mmHg): Systolic=145, Diastolic=81
01:09 - Blood Pressure (mmHg): Systolic=159, Diastolic=83
01:10 - Blood Pressure (mmHg): Systolic=127, Diastolic=86
01:11 - Blood Pressure (mmHg): Systolic=157, Diastolic=80
01:12 - Blood Pressure (mmHg): Systolic=122, Diastolic=95
01:13 - Blood Pressure (mmHg): Systolic=126, Diastolic=86
01:14 - Blood Pressure (mmHg): Systolic=130, Diastolic=88
01:15 - Blood Pressure (mmHg): Systolic=122, Diastolic=84
01:16 - Blood Pressure (mmHg): Systolic=142, Diastolic=99
01:17 - Blood Pressure (mmHg): Systolic=142, Diastolic=90
01:18 - Blood Pressure (mmHg): Systolic=130, Diastolic=95
01:19 - Blood Pressure (mmHg): Systolic=140, Diastolic=95
01:20 - Blood Pressure (mmHg): Systolic=133, Diastolic=90
01:21 - Blood Pressure (mmHg): Systolic=125, Diastolic=98
01:22 - Blood Pressure (mmHg): Systolic=156, Diastolic=98
01:23 - Blood Pressure (mmHg): Systolic=157, Diastolic=89
01:24 - Blood Pressure (mmHg): Systolic=129, Diastolic=83
01:25 - Blood Pressure (mmHg): Systolic=152, Diastolic=92
01:26 - Blood Pressure (mmHg): Systolic=152, Diastolic=94
01:27 - Blood Pressure (mmHg): Systolic=152, Diastolic=97
01:28 - Blood Pressure (mmHg): Systolic=150, Diastolic=92
01:29 - Blood Pressure (mmHg): Systolic=133, Diastolic=83
01:30 - Blood Pressure (mmHg): Systolic=132, Diastolic=99
01:31 - Blood Pressure (mmHg): Systolic=138, Diastolic=87
01:32 - Blood Pressure (mmHg): Systolic=136, Diastolic=85
01:33 - Blood Pressure (mmHg): Systolic=160, Diastolic=98
01:34 - Blood Pressure (mmHg): Systolic=160, Diastolic=99
01:35 - Blood Pressure (mmHg): Systolic=140, Diastolic=93
01:36 - Blood Pressure (mmHg): Systolic=128, Diastolic=94
01:37 - Blood Pressure (mmHg): Systolic=149, Diastolic=82
01:38 - Blood Pressure (mmHg): Systolic=138, Diastolic=84
01:39 - Blood Pressure (mmHg): Systolic=152, Diastolic=93
01:40 - Blood Pressure (mmHg): Systolic=158, Diastolic=89
01:41 - Blood Pressure (mmHg): Systolic=153, Diastolic=80
01:42 - Blood Pressure (mmHg): Systolic=150, Diastolic=96
01:43 - Blood Pressure (mmHg): Systolic=149, Diastolic=98
01:44 - Blood Pressure (mmHg): Systolic=138, Diastolic=81
01:45 - Blood Pressure (mmHg): Systolic=124, Diastolic=92
01:46 - Blood Pressure (mmHg): Systolic=129, Diastolic=98
01:47 - Blood Pressure (mmHg): Systolic=135, Diastolic=82
01:48 - Blood Pressure (mmHg): Systolic=156, Diastolic=88
01:49 - Blood Pressure (mmHg): Systolic=156, Diastolic=92
01:50 - Blood Pressure (mmHg): Systolic=150, Diastolic=85
01:51 - Blood Pressure (mmHg): Systolic=141, Diastolic=95
01:52 - Blood Pressure (mmHg): Systolic=138, Diastolic=93
