00:00 - Blood Pressure (mmHg): Systolic=118, Diastolic=78
00:01 - Blood Pressure (mmHg): Systolic=94, Diastolic=70
00:02 - Blood Pressure (mmHg): Systolic=94, Diastolic=76
00:03 - Blood Pressure (mmHg): Systolic=108, Diastolic=71
00:04 - Blood Pressure (mmHg): Systolic=111, Diastolic=80
00:05 - Blood Pressure (mmHg): Systolic=106, Diastolic=68
00:06 - Blood Pressure (mmHg): Systolic=113, Diastolic=77
00:07 - Blood Pressure (mmHg): Systolic=102, Diastolic=67
00:08 - Blood Pressure (mmHg): Systolic=98, Diastolic=71
00:09 - Blood Pressure (mmHg): Systolic=104, Diastolic=67
00:10 - Blood Pressure (mmHg): Systolic=99, Diastolic=73
00:11 - Blood Pressure (mmHg): Systolic=95, Diastolic=75
00:12 - Blood Pressure (mmHg): Systolic=91, Diastolic=71
00:13 - Blood Pressure (mmHg): Systolic=119, Diastolic=74
00:14 - Blood Pressure (mmHg): Systolic=90, Diastolic=64
00:15 - Blood Pressure (mmHg): Systolic=111, Diastolic=80
00:16 - Blood Pressure (mmHg): Systolic=100, Diastolic=66
00:17 - Blood Pressure (mmHg): Systolic=106, Diastolic=74
00:18 - Blood Pressure (mmHg): Systolic=109, Diastolic=77
00:19 - Blood Pressure (mmHg): Systolic=98, Diastolic=74
00:20 - Blood Pressure (mmHg): Systolic=94, Diastolic=73
00:21 - Blood Pressure (mmHg): Systolic=112, Diastolic=78
00:22 - Blood Pressure (mmHg): Systolic=99, Diastolic=71
00:23 - Blood Pressure (mmHg): Systolic=119, Diastolic=80
00:24 - Blood Pressure (mmHg): Systolic=106, Diastolic=77
00:25 - Blood Pressure (mmHg): Systolic=117, Diastolic=68
00:26 - Blood Pressure (mmHg): Systolic=118, Diastolic=72
00:27 - Blood Pressure (mmHg): Systolic=99, Diastolic=65
00:28 - Blood Pressure (mmHg): Systolic=95, Diastolic=70
00:29 - Blood Pressure (mmHg): Systolic=103, Diastolic=64
00:30 - Blood Pressure (mmHg): Systolic=119, Diastolic=69
00:31 - Blood Pressure (mmHg): Systolic=105, Diastolic=75
00:32 - Blood Pressure (mmHg): Systolic=115, Diastolic=71
00:33 - Blood Pressure (mmHg): Systolic=90, Diastolic=63
00:34 - Blood Pressure (mmHg): Systolic=103, Diastolic=80
00:35 - Blood Pressure (mmHg): Systolic=90, Diastolic=65
00:36 - Blood Pressure (mmHg): Systolic=101, Diastolic=77
00:37 - Blood Pressure (mmHg): Systolic=115, Diastolic=79
00:38 - Blood Pressure (mmHg): Systolic=113, Diastolic=78
00:39 - Blood Pressure (mmHg): Systolic=108, Diastolic=60
00:40 - Blood Pressure (mmHg): Systolic=116, Diastolic=76
00:41 - Blood Pressure (mmHg): Systolic=101, Diastolic=67
00:42 - Blood Pressure (mmHg): Systolic=108, Diastolic=67
00:43 - Blood Pressure (mmHg): Systolic=100, Diastolic=61
00:44 - Blood Pressure (mmHg): Systolic=112, Diastolic=64
00:45 - Blood Pressure (mmHg): Systolic=102, Diastolic=63
00:46 - Blood Pressure (mmHg): Systolic=116, Diastolic=69
00:47 - Blood Pressure (mmHg): Systolic=93, Diastolic=60
00:48 - Blood Pressure (mmHg): Systolic=90, Diastolic=78
00:49 - Blood Pressure (mmHg): Systolic=114, Diastolic=64
00:50 - Blood Pressure (mmHg): Systolic=95, Diastolic=70
00:51 - Blood Pressure (mmHg): Systolic=116, Diastolic=65
00:52 - Blood Pressure (mmHg): Systolic=95, Diastolic=60
00:53 - Blood Pressure (mmHg): Systolic=104, Diastolic=72
00:54 - Blood Pressure (mmHg): Systolic=108, Diastolic=75
00:55 - Blood Pressure (mmHg): Systolic=105, Diastolic=65
00:56 - Blood Pressure (mmHg): Systolic=94, Diastolic=79
00:57 - Blood Pressure (mmHg): Systolic=91, Diastolic=66
00:58 - Blood Pressure (mmHg): Systolic=109, Diastolic=78
00:59 - Blood Pressure (mmHg): Systolic=98, Diastolic=64
01:00 - Blood Pressure (mmHg): Systolic=106, Diastolic=72
01:01 - Blood Pressure (mmHg): Systolic=91, Diastolic=80
01:02 - Blood Pressure (mmHg): Systolic=98, Diastolic=70
01:03 - Blood Pressure (mmHg): Systolic=114, Diastolic=69
01:04 - Blood Pressure (mmHg): Systolic=98, Diastolic=65
01:05 - Blood Pressure (mmHg): Systolic=94, Diastolic=71
01:06 - Blood Pressure (mmHg): Systolic=109, Diastolic=63
01:07 - Blood Pressure (mmHg): Systolic=91, Diastolic=76
01:08 - Blood Pressure (mmHg): Systolic=90, Diastolic=72
01:09 - Blood Pressure (mmHg): Systolic=111, Diastolic=74
01:10 - Blood Pressure (mmHg): Systolic=94, Diastolic=73
01:11 - Blood Pressure (mmHg): Systolic=116, Diastolic=72
01:12 - Blood Pressure (mmHg): Systolic=92, Diastolic=66
01:13 - Blood Pressure (mmHg): Systolic=116, Diastolic=72
01:14 - Blood Pressure (mmHg): Systolic=120, Diastolic=64
01:15 - Blood Pressure (mmHg): Systolic=98, Diastolic=79
01:16 - Blood Pressure (mmHg): Systolic=118, Diastolic=77
01:17 - Blood Pressure (mmHg): Systolic=104, Diastolic=63
01:18 - Blood Pressure (mmHg): Systolic=116, Diastolic=60
01:19 - Blood Pressure (mmHg): Systolic=95, Diastolic=78
01:20 - Blood Pressure (mmHg): Systolic=113, Diastolic=71
01:21 - Blood Pressure (mmHg): Systolic=96, Diastolic=66
01:22 - Blood Pressure (mmHg): Systolic=104, Diastolic=65
01:23 - Blood Pressure (mmHg): Systolic=92, Diastolic=73
01:24 - Blood Pressure (mmHg): Systolic=118, Diastolic=61
01:25 - Blood Pressure (mmHg): Systolic=100, Diastolic=76
01:26 - Blood Pressure (mmHg): Systolic=120, Diastolic=61
