00:00 - Blood Pressure (mmHg): Systolic=119, Diastolic=89
00:01 - Blood Pressure (mmHg): Systolic=127, Diastolic=70
00:02 - Blood Pressure (mmHg): Systolic=105, Diastolic=90
00:03 - Blood Pressure (mmHg): Systolic=112, Diastolic=80
00:04 - Blood Pressure (mmHg): Systolic=129, Diastolic=87
00:05 - Blood Pressure (mmHg): Systolic=117, Diastolic=76
00:06 - Blood Pressure (mmHg): Systolic=123, Diastolic=78
00:07 - Blood Pressure (mmHg): Systolic=101, Diastolic=89
00:08 - Blood Pressure (mmHg): Systolic=113, Diastolic=85
00:09 - Blood Pressure (mmHg): Systolic=105, Diastolic=78
00:10 - Blood Pressure (mmHg): Systolic=114, Diastolic=82
00:11 - Blood Pressure (mmHg): Systolic=126, Diastolic=70
00:12 - Blood Pressure (mmHg): Systolic=115, Diastolic=85
00:13 - Blood Pressure (mmHg): Systolic=123, Diastolic=90
00:14 - Blood Pressure (mmHg): Systolic=110, Diastolic=75
00:15 - Blood Pressure (mmHg): Systolic=115, Diastolic=82
00:16 - Blood Pressure (mmHg): Systolic=127, Diastolic=70
00:17 - Blood Pressure (mmHg): Systolic=109, Diastolic=84
00:18 - Blood Pressure (mmHg): Systolic=107, Diastolic=90
00:19 - Blood Pressure (mmHg): Systolic=127, Diastolic=88
00:20 - Blood Pressure (mmHg): Systolic=117, Diastolic=80
00:21 - Blood Pressure (mmHg): Systolic=130, Diastolic=83
00:22 - Blood Pressure (mmHg): Systolic=128, Diastolic=90
00:23 - Blood Pressure (mmHg): Systolic=123, Diastolic=84
00:24 - Blood Pressure (mmHg): Systolic=119, Diastolic=84
00:25 - Blood Pressure (mmHg): Systolic=100, Diastolic=71
00:26 - Blood Pressure (mmHg): Systolic=100, Diastolic=73
00:27 - Blood Pressure (mmHg): Systolic=110, Diastolic=76
00:28 - Blood Pressure (mmHg): Systolic=122, Diastolic=81
00:29 - Blood Pressure (mmHg): Systolic=117, Diastolic=83
00:30 - Blood Pressure (mmHg): Systolic=126, Diastolic=87
00:31 - Blood Pressure (mmHg): Systolic=113, Diastolic=87
00:32 - Blood Pressure (mmHg): Systolic=104, Diastolic=78
00:33 - Blood Pressure (mmHg): Systolic=106, Diastolic=78
00:34 - Blood Pressure (mmHg): Systolic=118, Diastolic=72
00:35 - Blood Pressure (mmHg): Systolic=105, Diastolic=83
00:36 - Blood Pressure (mmHg): Systolic=104, Diastolic=71
00:37 - Blood Pressure (mmHg): Systolic=108, Diastolic=88
00:38 - Blood Pressure (mmHg): Systolic=122, Diastolic=70
00:39 - Blood Pressure (mmHg): Systolic=115, Diastolic=85
00:40 - Blood Pressure (mmHg): Systolic=123, Diastolic=73
00:41 - Blood Pressure (mmHg): Systolic=127, Diastolic=79
00:42 - Blood Pressure (mmHg): Systolic=117, Diastolic=73
00:43 - Blood Pressure (mmHg): Systolic=104, Diastolic=75
00:44 - Blood Pressure (mmHg): Systolic=126, Diastolic=72
00:45 - Blood Pressure (mmHg): Systolic=126, Diastolic=74
00:46 - Blood Pressure (mmHg): Systolic=102, Diastolic=75
00:47 - Blood Pressure (mmHg): Systolic=121, Diastolic=85
00:48 - Blood Pressure (mmHg): Systolic=104, Diastolic=86
00:49 - Blood Pressure (mmHg): Systolic=113, Diastolic=74
00:50 - Blood Pressure (mmHg): Systolic=104, Diastolic=90
00:51 - Blood Pressure (mmHg): Systolic=107, Diastolic=77
00:52 - Blood Pressure (mmHg): Systolic=116, Diastolic=86
00:53 - Blood Pressure (mmHg): Systolic=118, Diastolic=85
00:54 - Blood Pressure (mmHg): Systolic=105, Diastolic=82
00:55 - Blood Pressure (mmHg): Systolic=100, Diastolic=78
00:56 - Blood Pressure (mmHg): Systolic=118, Diastolic=70
00:57 - Blood Pressure (mmHg): Systolic=118, Diastolic=85
00:58 - Blood Pressure (mmHg): Systolic=122, Diastolic=80
00:59 - Blood Pressure (mmHg): Systolic=121, Diastolic=86
01:00 - Blood Pressure (mmHg): Systolic=108, Diastolic=76
01:01 - Blood Pressure (mmHg): Systolic=116, Diastolic=79
