00:00 - Blood Pressure (mmHg): Systolic=127, Diastolic=94
00:01 - Blood Pressure (mmHg): Systolic=152, Diastolic=94
00:02 - Blood Pressure (mmHg): Systolic=160, Diastolic=84
00:03 - Blood Pressure (mmHg): Systolic=153, Diastolic=81
00:04 - Blood Pressure (mmHg): Systolic=128, Diastolic=96
00:05 - Blood Pressure (mmHg): Systolic=143, Diastolic=94
00:06 - Blood Pressure (mmHg): Systolic=128, Diastolic=92
00:07 - Blood Pressure (mmHg): Systolic=143, Diastolic=90
00:08 - Blood Pressure (mmHg): Systolic=158, Diastolic=98
00:09 - Blood Pressure (mmHg): Systolic=127, Diastolic=83
00:10 - Blood Pressure (mmHg): Systolic=133, Diastolic=84
00:11 - Blood Pressure (mmHg): Systolic=126, Diastolic=86
00:12 - Blood Pressure (mmHg): Systolic=148, Diastolic=83
00:13 - Blood Pressure (mmHg): Systolic=152, Diastolic=82
00:14 - Blood Pressure (mmHg): Systolic=158, Diastolic=100
00:15 - Blood Pressure (mmHg): Systolic=151, Diastolic=91
00:16 - Blood Pressure (mmHg): Systolic=156, Diastolic=86
00:17 - Blood Pressure (mmHg): Systolic=155, Diastolic=80
00:18 - Blood Pressure (mmHg): Systolic=152, Diastolic=85
00:19 - Blood Pressure (mmHg): Systolic=158, Diastolic=82
00:20 - Blood Pressure (mmHg): Systolic=136, Diastolic=98
00:21 - Blood Pressure (mmHg): Systolic=140, Diastolic=85
00:22 - Blood Pressure (mmHg): Systolic=127, Diastolic=84
00:23 - Blood Pressure (mmHg): Systolic=132, Diastolic=83
00:24 - Blood Pressure (mmHg): Systolic=150, Diastolic=84
00:25 - Blood Pressure (mmHg): Systolic=125, Diastolic=84
00:26 - Blood Pressure (mmHg): Systolic=135, Diastolic=88
00:27 - Blood Pressure (mmHg): Systolic=127, Diastolic=96
00:28 - Blood Pressure (mmHg): Systolic=136, Diastolic=81
00:29 - Blood Pressure (mmHg): Systolic=139, Diastolic=90
00:30 - Blood Pressure (mmHg): Systolic=137, Diastolic=90
00:31 - Blood Pressure (mmHg): Systolic=142, Diastolic=94
00:32 - Blood Pressure (mmHg): Systolic=140, Diastolic=96
00:33 - Blood Pressure (mmHg): Systolic=120, Diastolic=95
00:34 - Blood Pressure (mmHg): Systolic=153, Diastolic=87
00:35 - Blood Pressure (mmHg): Systolic=141, Diastolic=93
00:36 - Blood Pressure (mmHg): Systolic=142, Diastolic=97
00:37 - Blood Pressure (mmHg): Systolic=159, Diastolic=93
00:38 - Blood Pressure (mmHg): Systolic=143, Diastolic=99
00:39 - Blood Pressure (mmHg): Systolic=144, Diastolic=94
00:40 - Blood Pressure (mmHg): Systolic=139, Diastolic=86
00:41 - Blood Pressure (mmHg): Systolic=149, Diastolic=92
00:42 - Blood Pressure (mmHg): Systolic=139, Diastolic=85
00:43 - Blood Pressure (mmHg): Systolic=160, Diastolic=97
00:44 - Blood Pressure (mmHg): Systolic=128, Diastolic=88
00:45 - Blood Pressure (mmHg): Systolic=151, Diastolic=99
00:46 - Blood Pressure (mmHg): Systolic=144, Diastolic=86
00:47 - Blood Pressure (mmHg): Systolic=136, Diastolic=82
00:48 - Blood Pressure (mmHg): Systolic=151, Diastolic=95
00:49 - Blood Pressure (mmHg): Systolic=134, Diastolic=94
00:50 - Blood Pressure (mmHg): Systolic=135, Diastolic=80
00:51 - Blood Pressure (mmHg): Systolic=128, Diastolic=100
00:52 - Blood Pressure (mmHg): Systolic=133, Diastolic=94
00:53 - Blood Pressure (mmHg): Systolic=145, Diastolic=88
00:54 - Blood Pressure (mmHg): Systolic=135, Diastolic=89
00:55 - Blood Pressure (mmHg): Systolic=155, Diastolic=87
00:56 - Blood Pressure (mmHg): Systolic=135, Diastolic=82
00:57 - Blood Pressure (mmHg): Systolic=141, Diastolic=93
00:58 - Blood Pressure (mmHg): Systolic=143, Diastolic=80
00:59 - Blood Pressure (mmHg): Systolic=148, Diastolic=92
01:00 - Blood Pressure (mmHg): Systolic=142, Diastolic=100
01:01 - Blood Pressure (mmHg): Systolic=137, Diastolic=96
01:02 - Blood Pressure (mmHg): Systolic=160, Diastolic=98
01:03 - Blood Pressure (mmHg): Systolic=154, Diastolic=83
01:04 - Blood Pressure (mmHg): Systolic=128, Diastolic=86
01:05 - Blood Pressure (mmHg): Systolic=152, Diastolic=89
01:06 - Blood Pressure (mmHg): Systolic=124, Diastolic=81
01:07 - Blood Pressure (mmHg): Systolic=131, Diastolic=94
01:08 - Blood Pressure (mmHg): Systolic=146, Diastolic=98
01:09 - Blood Pressure (mmHg): Systolic=128, Diastolic=84
01:10 - Blood Pressure (mmHg): Systolic=131, Diastolic=95
01:11 - Blood Pressure (mmHg): Systolic=143, Diastolic=90
01:12 - Blood Pressure (mmHg): Systolic=133, Diastolic=81
01:13 - Blood Pressure (mmHg): Systolic=144, Diastolic=87
01:14 - Blood Pressure (mmHg): Systolic=142, Diastolic=89
01:15 - Blood Pressure (mmHg): Systolic=123, Diastolic=99
01:16 - Blood Pressure (mmHg): Systolic=156, Diastolic=92
01:17 - Blood Pressure (mmHg): Systolic=159, Diastolic=90
01:18 - Blood Pressure (mmHg): Systolic=137, Diastolic=89
01:19 - Blood Pressure (mmHg): Systolic=128, Diastolic=81
01:20 - Blood Pressure (mmHg): Systolic=157, Diastolic=100
01:21 - Blood Pressure (mmHg): Systolic=147, Diastolic=88
01:22 - Blood Pressure (mmHg): Systolic=148, Diastolic=91
01:23 - Blood Pressure (mmHg): Systolic=160, Diastolic=84
01:24 - Blood Pressure (mmHg): Systolic=155, Diastolic=91
01:25 - Blood Pressure (mmHg): Systolic=120, Diastolic=88
01:26 - Blood Pressure (mmHg): Systolic=145, Diastolic=99
01:27 - Blood Pressure (mmHg): Systolic=154, Diastolic=97
01:28 - Blood Pressure (mmHg): Systolic=132, Diastolic=87
01:29 - Blood Pressure (mmHg): Systolic=123, Diastolic=95
01:30 - Blood Pressure (mmHg): Systolic=134, Diastolic=80
01:31 - Blood Pressure (mmHg): Systolic=127, Diastolic=86
01:32 - Blood Pressure (mmHg): Systolic=135, Diastolic=88
01:33 - Blood Pressure (mmHg): Systolic=155, Diastolic=95
01:34 - Blood Pressure (mmHg): Systolic=122, Diastolic=100
01:35 - Blood Pressure (mmHg): Systolic=144, Diastolic=89
01:36 - Blood Pressure (mmHg): Systolic=146, Diastolic=89
01:37 - Blood Pressure (mmHg): Systolic=124, Diastolic=95
01:38 - Blood Pressure (mmHg): Systolic=138, Diastolic=98
01:39 - Blood Pressure (mmHg): Systolic=148, Diastolic=96
01:40 - Blood Pressure (mmHg): Systolic=128, Diastolic=97
01:41 - Blood Pressure (mmHg): Systolic=158, Diastolic=98
01:42 - Blood Pressure (mmHg): Systolic=147, Diastolic=97
